MatchDate:			 Date of the match.
Link_Density_06_avgGreaterThanZero:	 Average of <Link_Density_06> (Density for player with ball.) with only values greater than zero. For <6th player>. During the whole duration of the events <attack>.
Link_Density_06_std:		 Standard Deviation of <Link_Density_06> (Density for player with ball.). For <6th player>. During the whole duration of the events <attack>.
Link_Density_06_min:		 Minimum of <Link_Density_06> (Density for player with ball.). For <6th player>. During the whole duration of the events <attack>.
Link_Density_06_minGreaterThanZero:	 Minimum of <Link_Density_06> (Density for player with ball.) with only values greater than zero. For <6th player>. During the whole duration of the events <attack>.
Link_Density_06_max:		 Maximum of <Link_Density_06> (Density for player with ball.). For <6th player>. During the whole duration of the events <attack>.
Link_Density_07_avg:		 Average of <Link_Density_07> (Density for player with ball.). For <7th player>. During the whole duration of the events <attack>.
Link_Density_07_avgGreaterThanZero:	 Average of <Link_Density_07> (Density for player with ball.) with only values greater than zero. For <7th player>. During the whole duration of the events <attack>.
Link_Density_07_std:		 Standard Deviation of <Link_Density_07> (Density for player with ball.). For <7th player>. During the whole duration of the events <attack>.
Link_Density_07_min:		 Minimum of <Link_Density_07> (Density for player with ball.). For <7th player>. During the whole duration of the events <attack>.
Link_Density_07_minGreaterThanZero:	 Minimum of <Link_Density_07> (Density for player with ball.) with only values greater than zero. For <7th player>. During the whole duration of the events <attack>.
Link_Density_07_max:		 Maximum of <Link_Density_07> (Density for player with ball.). For <7th player>. During the whole duration of the events <attack>.
Link_Density_08_avg:		 Average of <Link_Density_08> (Density for player with ball.). For <8th player>. During the whole duration of the events <attack>.
Link_Density_08_avgGreaterThanZero:	 Average of <Link_Density_08> (Density for player with ball.) with only values greater than zero. For <8th player>. During the whole duration of the events <attack>.
Link_Density_08_std:		 Standard Deviation of <Link_Density_08> (Density for player with ball.). For <8th player>. During the whole duration of the events <attack>.
Link_Density_08_min:		 Minimum of <Link_Density_08> (Density for player with ball.). For <8th player>. During the whole duration of the events <attack>.
Link_Density_08_minGreaterThanZero:	 Minimum of <Link_Density_08> (Density for player with ball.) with only values greater than zero. For <8th player>. During the whole duration of the events <attack>.
Link_Density_08_max:		 Maximum of <Link_Density_08> (Density for player with ball.). For <8th player>. During the whole duration of the events <attack>.
Link_Density_09_avg:		 Average of <Link_Density_09> (Density for player with ball.). For <9th player>. During the whole duration of the events <attack>.
Link_Density_09_avgGreaterThanZero:	 Average of <Link_Density_09> (Density for player with ball.) with only values greater than zero. For <9th player>. During the whole duration of the events <attack>.
Link_Density_09_std:		 Standard Deviation of <Link_Density_09> (Density for player with ball.). For <9th player>. During the whole duration of the events <attack>.
Link_Density_09_min:		 Minimum of <Link_Density_09> (Density for player with ball.). For <9th player>. During the whole duration of the events <attack>.
Link_Density_09_minGreaterThanZero:	 Minimum of <Link_Density_09> (Density for player with ball.) with only values greater than zero. For <9th player>. During the whole duration of the events <attack>.
Link_Density_09_max:		 Maximum of <Link_Density_09> (Density for player with ball.). For <9th player>. During the whole duration of the events <attack>.
Link_Density_10_avg:		 Average of <Link_Density_10> (Density for player with ball.). For <10th player>. During the whole duration of the events <attack>.
Link_Density_10_avgGreaterThanZero:	 Average of <Link_Density_10> (Density for player with ball.) with only values greater than zero. For <10th player>. During the whole duration of the events <attack>.
Link_Density_10_std:		 Standard Deviation of <Link_Density_10> (Density for player with ball.). For <10th player>. During the whole duration of the events <attack>.
Link_Density_10_min:		 Minimum of <Link_Density_10> (Density for player with ball.). For <10th player>. During the whole duration of the events <attack>.
Link_Density_10_minGreaterThanZero:	 Minimum of <Link_Density_10> (Density for player with ball.) with only values greater than zero. For <10th player>. During the whole duration of the events <attack>.
Link_Density_10_max:		 Maximum of <Link_Density_10> (Density for player with ball.). For <10th player>. During the whole duration of the events <attack>.
Link_Density_11_avg:		 Average of <Link_Density_11> (Density for player with ball.). For <11th player>. During the whole duration of the events <attack>.
Link_Density_11_avgGreaterThanZero:	 Average of <Link_Density_11> (Density for player with ball.) with only values greater than zero. For <11th player>. During the whole duration of the events <attack>.
Link_Density_11_std:		 Standard Deviation of <Link_Density_11> (Density for player with ball.). For <11th player>. During the whole duration of the events <attack>.
Link_Density_11_min:		 Minimum of <Link_Density_11> (Density for player with ball.). For <11th player>. During the whole duration of the events <attack>.
Link_Density_11_minGreaterThanZero:	 Minimum of <Link_Density_11> (Density for player with ball.) with only values greater than zero. For <11th player>. During the whole duration of the events <attack>.
Link_Density_11_max:		 Maximum of <Link_Density_11> (Density for player with ball.). For <11th player>. During the whole duration of the events <attack>.
Link_Density_12_avg:		 Average of <Link_Density_12> (Density for player with ball.). For <12th player>. During the whole duration of the events <attack>.
Link_Density_12_avgGreaterThanZero:	 Average of <Link_Density_12> (Density for player with ball.) with only values greater than zero. For <12th player>. During the whole duration of the events <attack>.
Link_Density_12_std:		 Standard Deviation of <Link_Density_12> (Density for player with ball.). For <12th player>. During the whole duration of the events <attack>.
Link_Density_12_min:		 Minimum of <Link_Density_12> (Density for player with ball.). For <12th player>. During the whole duration of the events <attack>.
Link_Density_12_minGreaterThanZero:	 Minimum of <Link_Density_12> (Density for player with ball.) with only values greater than zero. For <12th player>. During the whole duration of the events <attack>.
Link_Density_12_max:		 Maximum of <Link_Density_12> (Density for player with ball.). For <12th player>. During the whole duration of the events <attack>.
Link_Density_13_avg:		 Average of <Link_Density_13> (Density for player with ball.). For <13th player>. During the whole duration of the events <attack>.
Link_Density_13_avgGreaterThanZero:	 Average of <Link_Density_13> (Density for player with ball.) with only values greater than zero. For <13th player>. During the whole duration of the events <attack>.
Link_Density_13_std:		 Standard Deviation of <Link_Density_13> (Density for player with ball.). For <13th player>. During the whole duration of the events <attack>.
Link_Density_13_min:		 Minimum of <Link_Density_13> (Density for player with ball.). For <13th player>. During the whole duration of the events <attack>.
Link_Density_13_minGreaterThanZero:	 Minimum of <Link_Density_13> (Density for player with ball.) with only values greater than zero. For <13th player>. During the whole duration of the events <attack>.
Link_Density_13_max:		 Maximum of <Link_Density_13> (Density for player with ball.). For <13th player>. During the whole duration of the events <attack>.
Link_Density_14_avg:		 Average of <Link_Density_14> (Density for player with ball.). For <14th player>. During the whole duration of the events <attack>.
Link_Density_14_avgGreaterThanZero:	 Average of <Link_Density_14> (Density for player with ball.) with only values greater than zero. For <14th player>. During the whole duration of the events <attack>.
Link_Density_14_std:		 Standard Deviation of <Link_Density_14> (Density for player with ball.). For <14th player>. During the whole duration of the events <attack>.
Link_Density_14_min:		 Minimum of <Link_Density_14> (Density for player with ball.). For <14th player>. During the whole duration of the events <attack>.
Link_Density_14_minGreaterThanZero:	 Minimum of <Link_Density_14> (Density for player with ball.) with only values greater than zero. For <14th player>. During the whole duration of the events <attack>.
Link_Density_14_max:		 Maximum of <Link_Density_14> (Density for player with ball.). For <14th player>. During the whole duration of the events <attack>.
Link_Density_15_avg:		 Average of <Link_Density_15> (Density for player with ball.). For <15th player>. During the whole duration of the events <attack>.
Link_Density_15_avgGreaterThanZero:	 Average of <Link_Density_15> (Density for player with ball.) with only values greater than zero. For <15th player>. During the whole duration of the events <attack>.
Link_Density_15_std:		 Standard Deviation of <Link_Density_15> (Density for player with ball.). For <15th player>. During the whole duration of the events <attack>.
Link_Density_15_min:		 Minimum of <Link_Density_15> (Density for player with ball.). For <15th player>. During the whole duration of the events <attack>.
Link_Density_15_minGreaterThanZero:	 Minimum of <Link_Density_15> (Density for player with ball.) with only values greater than zero. For <15th player>. During the whole duration of the events <attack>.
Link_Density_15_max:		 Maximum of <Link_Density_15> (Density for player with ball.). For <15th player>. During the whole duration of the events <attack>.
Link_Density_16_avg:		 Average of <Link_Density_16> (Density for player with ball.). For <16th player>. During the whole duration of the events <attack>.
